Sample name,Sequence count
ATCCMiSeq2x300R1,795115
ATCCMiSeq2x300R10,777620
ATCCMiSeq2x300R13,731195
ATCCMiSeq2x300R5,709932
ATCCMiSeq2x300R9,699049
ATCCMiSeq2x300R12,679491
ATCCMiSeq2x300R7,623044
ATCCMiSeq2x300R2,618770
ATCCMiSeq2x300R14,607004
ATCCMiSeq2x300R15,601000
ATCCMiSeq2x300R4,596035
ATCCMiSeq2x300R6,538506
ATCCMiSeq2x300R16,513181
ATCCMiSeq2x300R11,508422
ATCCMiSeq2x300R8,500590
ATCCMiSeq2x300R17,409421
ATCCMiSeq2x300R20,386378
ATCCMiSeq2x300R21,346353
ATCCMiSeq2x300R18,322480
ATCCMiSeq2x300R3,317365
ATCCMiSeq2x300R22,314966
ATCCMiSeq2x300R23,314789
ATCCMiSeq2x300R24,234072
ATCCMiSeq2x300R19,194875
